GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core,fr.emn.criojo.core.factory,DefaultFactory.class,17,1,0,0,3,1,3,1,3,1
Core,fr.emn.criojo.ext.expression.ScalaList.operation,ForAllScalaList.,33,0,2,0,1,0,7,0,6,0
Core,fr.emn.criojo.ext.expression.ScalaList.operation,ForAllScalaList..anonfun.reduce.new Serializable() {...},4,23,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.ext.expression.ScalaList.operation,ForAllScalaList,197,39,35,0,9,4,39,5,21,5
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,AddScalaInt,225,51,31,0,7,5,45,6,29,6
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,EqualScalaInt,189,61,31,2,8,5,36,9,20,8
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinScalaInt.,32,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,GreaterThanScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,CrossScalaInt,225,51,31,0,7,5,45,6,29,6
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,DivideScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,CrossScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinusScalaInt,228,48,31,0,7,5,46,5,30,5
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,GreaterThanScalaInt,189,61,31,2,8,5,36,9,20,8
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinScalaInt..anonfun.applyValuation.new Serializable() {...},0,21,0,0,0,2,0,4,0,4
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinScalaInt,153,86,19,5,4,6,37,8,26,7
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,DivideScalaInt,225,51,31,0,7,5,45,6,29,6
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinScalaInt..anonfun.reduce.new Serializable() {...},4,25,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,MinusScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,EqualScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaInt.operation,AddScalaInt.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.core.impur,NativeRelation,0,14,0,0,0,2,0,2,0,2
